"","x"
"1","1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN: (expasy) 1-acylglycerol-3-phosphate O-acyltransferase [2.3.1.51]"
"2","1.1.1.64-RXN: (expasy) Testosterone 17-beta-dehydrogenase (NADP(+)) [1.1.1.64]"
"3","1.14.19.3-RXN: (expasy) Acyl-CoA 6-desaturase [1.14.19.3]"
"4","1.3.7.2-RXN: (expasy) 15,16-dihydrobiliverdin:ferredoxin oxidoreductase [1.3.7.2]"
"5","1.3.7.3-RXN: (expasy) Phycoerythrobilin:ferredoxin oxidoreductase [1.3.7.3]"
"6","1.3.7.5-RXN: (expasy) Phycocyanobilin:ferredoxin oxidoreductase [1.3.7.5]"
"7","1.4.3.19-RXN: (expasy) AMBIGUOUS [1.4.3.19; 1.4.3.3]"
"8","1.5.1.20-RXN: (expasy) Methylenetetrahydrofolate reductase (NAD(P)H) [1.5.1.20]"
"9","1.8.4.8-RXN: (expasy) Phosphoadenylyl-sulfate reductase (thioredoxin) [1.8.4.8]"
"10","2.1.1.130-RXN: (expasy) Precorrin-2 C(20)-methyltransferase [2.1.1.130]"
"11","2.1.1.151-RXN: (expasy) Cobalt-factor II C(20)-methyltransferase [2.1.1.151]"
"12","2.1.1.34-RXN: (expasy) tRNA (guanosine(18)-2'-O)-methyltransferase [2.1.1.34]"
"13","2.1.1.74-RXN: (expasy) (NAD(P)H-oxidizing) [2.1.1.74]"
"14","2.3.1.128-RXN: (expasy) [Ribosomal protein S18]-alanine N-acetyltransferase [2.3.1.266]"
"15","2.3.1.157-RXN: (expasy) Glucosamine-1-phosphate N-acetyltransferase [2.3.1.157]"
"16","2.4.1.129-RXN: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]"
"17","2.4.1.213-RXN: (expasy) Glucosylglycerol-phosphate synthase [2.4.1.213]"
"18","2.5.1.64-RXN: (expasy) synthase [2.2.1.9]"
"19","2.7.1.148-RXN: (expasy) 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [2.7.1.148]"
"20","2.7.1.156-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156]"
"21","2.7.7.13-RXN: (expasy) Mannose-1-phosphate guanylyltransferase [2.7.7.13]"
"22","2.7.7.60-RXN: (expasy) 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [2.7.7.60]"
"23","2.8.1.6-RXN: (expasy) Biotin synthase [2.8.1.6]"
"24","2.9.1.1-RXN: (expasy) L-seryl-tRNA(Sec) selenium transferase [2.9.1.1]"
"25","2PGADEHYDRAT-RXN: (expasy) Phosphopyruvate hydratase [4.2.1.11]"
"26","3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN: (expasy) 3-methyl-2-oxobutanoate hydroxymethyltransferase [2.1.2.11]"
"27","3-DEHYDROSPHINGANINE-REDUCTASE-RXN: (expasy) 3-dehydrosphinganine reductase [1.1.1.102]"
"28","3-NUCLEOTID-RXN: (expasy) 3'-nucleotidase [3.1.3.6]"
"29","3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN: (expasy) 4-hydroxy-3-polyprenylbenzoate decarboxylase [4.1.1.98]"
"30","3.1.21.4-RXN: (expasy) Type II site-specific deoxyribonuclease [3.1.21.4]"
"31","3.1.22.4-RXN: NO_NAME"
"32","3.1.26.11-RXN: (expasy) Ribonuclease Z [3.1.26.11]"
"33","3.1.26.12-RXN: (expasy) Ribonuclease E [3.1.26.12]"
"34","3.1.26.3-RXN: (expasy) Ribonuclease III [3.1.26.3]"
"35","3.1.26.4-RXN: (expasy) Ribonuclease H [3.1.26.4]"
"36","3.1.3.69-RXN: (expasy) Glucosylglycerol 3-phosphatase [3.1.3.69]"
"37","3.2.1.1-RXN: (expasy) Alpha-amylase [3.2.1.1]"
"38","3.2.1.3-RXN: (expasy) Glucan 1,4-alpha-glucosidase [3.2.1.3]"
"39","3.2.1.52-RXN: (expasy) Beta-N-acetylhexosaminidase [3.2.1.52]"
"40","3.2.2.23-RXN: (expasy) DNA-formamidopyrimidine glycosylase [3.2.2.23]"
"41","3.4.11.1-RXN: (expasy) AMBIGUOUS [3.4.11.1; 3.4.11.9]"
"42","3.4.11.10-RXN: (expasy) Bacterial leucyl aminopeptidase [3.4.11.10]"
"43","3.4.11.6-RXN: (expasy) Aminopeptidase B [3.4.11.6]"
"44","3.4.11.9-RXN: (expasy) Xaa-Pro aminopeptidase [3.4.11.9]"
"45","3.4.19.5-RXN: (expasy) Beta-aspartyl-peptidase [3.4.19.5]"
"46","3.4.21.102-RXN: (expasy) C-terminal processing peptidase [3.4.21.102]"
"47","3.4.21.26-RXN: (expasy) Prolyl oligopeptidase [3.4.21.26]"
"48","3.4.21.88-RXN: (expasy) Repressor LexA [3.4.21.88]"
"49","3.4.21.89-RXN: (expasy) Signal peptidase I [3.4.21.89]"
"50","3.4.21.92-RXN: (expasy) Endopeptidase Clp [3.4.21.92]"
"51","3.4.24.64-RXN: (expasy) Mitochondrial processing peptidase [3.4.24.64]"
"52","3.5.1.27-RXN: (expasy) Peptide deformylase [3.5.1.88]"
"53","3.5.1.88-RXN: (expasy) Peptide deformylase [3.5.1.88]"
"54","3.6.3.28-RXN: (expasy) ABC-type phosphonate transporter [7.3.2.2]"
"55","4.1.1.81-RXN: (expasy) Threonine-phosphate decarboxylase [4.1.1.81]"
"56","4.2.1.99-RXN: (expasy) 2-methylisocitrate dehydratase [4.2.1.99]"
"57","5-FORMYL-THF-CYCLO-LIGASE-RXN: (expasy) 5-formyltetrahydrofolate cyclo-ligase [6.3.3.2]"
"58","5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN: (expasy) S-methyl-5'-thioadenosine phosphorylase [2.4.2.28]"
"59","6.1.1.23-RXN: (expasy) Aspartate--tRNA(Asn) ligase [6.1.1.23]"
"60","6.3.2.10-RXN: (expasy) UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [6.3.2.10]"
"61","6.3.2.29-RXN: (expasy) Cyanophycin synthase (L-aspartate-adding) [6.3.2.29]"
"62","6.3.2.30-RXN: (expasy) Cyanophycin synthase (L-arginine-adding) [6.3.2.30]"
"63","6PFRUCTPHOS-RXN: (expasy) 6-phosphofructokinase [2.7.1.11]"
"64","6PGLUCONOLACT-RXN: (expasy) 6-phosphogluconolactonase [3.1.1.31]"
"65","7KAPSYN-RXN: (expasy) 8-amino-7-oxononanoate synthase [2.3.1.47]"
"66","ABC-23-RXN: (expasy) ABC-type phosphonate transporter [7.3.2.2]"
"67","ADENYL-KIN-RXN: (expasy) Adenylate kinase [2.7.4.3]"
"68","ADENYLYLSULFKIN-RXN: (expasy) Adenylyl-sulfate kinase [2.7.1.25]"
"69","ADP-RIBOSYLARGININE-HYDROLASE-RXN: (expasy) [Protein ADP-ribosylarginine] hydrolase [3.2.2.19]"
"70","AGMATIN-RXN: (expasy) Agmatinase [3.5.3.11]"
"71","AICARSYN-RXN: (expasy) Adenylosuccinate lyase [4.3.2.2]"
"72","AIRS-RXN: (expasy) Phosphoribosylformylglycinamidine cyclo-ligase [6.3.3.1]"
"73","ALANINE--TRNA-LIGASE-RXN: (expasy) Alanine--tRNA ligase [6.1.1.7]"
"74","ALPHA-AMYL-RXN: (expasy) Alpha-amylase [3.2.1.1]"
"75","AMINOGLYCOSIDE-N3-ACETYLTRANSFERASE-RXN: (expasy) Aminoglycoside N(3)-acetyltransferase [2.3.1.81]"
"76","AMPSYN-RXN: (expasy) Adenylosuccinate lyase [4.3.2.2]"
"77","AMYLOMALT-RXN: (expasy) 4-alpha-glucanotransferase [2.4.1.25]"
"78","ARGDECARBOX-RXN: (expasy) Arginine decarboxylase [4.1.1.19]"
"79","ARGININE--TRNA-LIGASE-RXN: (expasy) Arginine--tRNA ligase [6.1.1.19]"
"80","ARGSUCCINLYA-RXN: (expasy) Argininosuccinate lyase [4.3.2.1]"
"81","ASNSYNB-RXN: (expasy) Asparagine synthase (glutamine-hydrolyzing) [6.3.5.4]"
"82","ASPARTASE-RXN: (expasy) Aspartate ammonia-lyase [4.3.1.1]"
"83","ATPPHOSPHORIBOSYLTRANS-RXN: (expasy) ATP phosphoribosyltransferase [2.4.2.17]"
"84","BILIVERDIN-REDUCTASE-RXN: (expasy) Biliverdin reductase [1.3.1.24]"
"85","BIOTIN-CARBOXYL-RXN: (expasy) Biotin carboxylase [6.3.4.14]"
"86","CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN: (expasy) Caffeoyl-CoA O-methyltransferase [2.1.1.104]"
"87","CARBOXYMETHYLENEBUTENOLIDASE-RXN: (expasy) Carboxymethylenebutenolidase [3.1.1.45]"
"88","CHORISMATEMUT-RXN: (expasy) Chorismate mutase [5.4.99.5]"
"89","COBINAMIDEKIN-RXN: (expasy) Adenosylcobinamide kinase [2.7.1.156]"
"90","CYSTEINE--TRNA-LIGASE-RXN: (expasy) Cysteine--tRNA ligase [6.1.1.16]"
"91","CYTDEAM-RXN: (expasy) Cytosine deaminase [3.5.4.1]"
"92","DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN: (expasy) Deoxyribodipyrimidine photo-lyase [4.1.99.3]"
"93","DEOXYRIBOSE-P-ALD-RXN: (expasy) Deoxyribose-phosphate aldolase [4.1.2.4]"
"94","DETHIOBIOTIN-SYN-RXN: (expasy) Dethiobiotin synthase [6.3.3.3]"
"95","DIAMINOPIMDECARB-RXN: (expasy) Diaminopimelate decarboxylase [4.1.1.20]"
"96","DIENELACHYDRO-RXN: (expasy) Carboxymethylenebutenolidase [3.1.1.45]"
"97","DIHYDROKAEMPFEROL-4-REDUCTASE-RXN: (expasy) Dihydroflavanol 4-reductase [1.1.1.219]"
"98","DIHYDROOROTATE-DEHYDROGENASE-RXN: (expasy) Dihydroorotate dehydrogenase (quinone) [1.3.5.2]"
"99","DIOHBUTANONEPSYN-RXN: (expasy) 3,4-dihydroxy-2-butanone-4-phosphate synthase [4.1.99.12]"
"100","DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN: (expasy) DNA (cytosine-5-)-methyltransferase [2.1.1.37]"
"101","DTDPDEHYDRHAMEPIM-RXN: (expasy) dTDP-4-dehydrorhamnose 3,5-epimerase [5.1.3.13]"
"102","DTDPGLUCDEHYDRAT-RXN: (expasy) dTDP-glucose 4,6-dehydratase [4.2.1.46]"
"103","DTMPKI-RXN: (expasy) AMBIGUOUS [2.7.4.12; 2.7.4.13; 2.7.4.9]"
"104","DXPREDISOM-RXN: (expasy) 1-deoxy-D-xylulose-5-phosphate reductoisomerase [1.1.1.267]"
"105","ESTRADIOL-17-BETA-DEHYDROGENASE-RXN: (expasy) 17-beta-estradiol 17-dehydrogenase [1.1.1.62]"
"106","F16ALDOLASE-RXN: (expasy) Fructose-bisphosphate aldolase [4.1.2.13]"
"107","F16BDEPHOS-RXN: (expasy) Fructose-bisphosphatase [3.1.3.11]"
"108","FARNESYLTRANSTRANSFERASE-RXN: (expasy) Geranylgeranyl diphosphate synthase [2.5.1.29]"
"109","FGAMSYN-RXN: (expasy) Phosphoribosylformylglycinamidine synthase [6.3.5.3]"
"110","FLAVONADPREDUCT-RXN: (expasy) Flavodoxin--NADP(+) reductase [1.19.1.1]"
"111","FPPSYN-RXN: (expasy) (2E,6E)-farnesyl diphosphate synthase [2.5.1.10]"
"112","FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN: (expasy) Fructose-6-phosphate phosphoketolase [4.1.2.22]"
"113","GAMMA-GLUTAMYLTRANSFERASE-RXN: (expasy) Gamma-glutamyltransferase [2.3.2.2]"
"114","GDPPYPHOSKIN-RXN: (expasy) GTP diphosphokinase [2.7.6.5]"
"115","GLU6PDEHYDROG-RXN: (expasy) Glucose-6-phosphate dehydrogenase (NADP(+)) [1.1.1.49]"
"116","GLUC1PADENYLTRANS-RXN: (expasy) Glucose-1-phosphate adenylyltransferase [2.7.7.27]"
"117","GLUCOKIN-RXN: (expasy) AMBIGUOUS [2.7.1.1; 2.7.1.2]"
"118","GLUTAMATE-DEHYDROGENASE-RXN: (expasy) Glutamate dehydrogenase [1.4.1.2]"
"119","GLUTAMATE-N-ACETYLTRANSFERASE-RXN: (expasy) Glutamate N-acetyltransferase [2.3.1.35]"
"120","GLUTAMIDOTRANS-RXN: (expasy) Imidazole glycerol-phosphate synthase [4.3.2.10]"
"121","GLUTAMIN-RXN: (expasy) AMBIGUOUS [3.5.1.2; 3.5.1.38]"
"122","GLUTATHIONE-REDUCT-NADPH-RXN: (expasy) Glutathione-disulfide reductase [1.8.1.7]"
"123","GLUTDEHYD-RXN: (expasy) Glutamate dehydrogenase (NADP(+)) [1.4.1.4]"
"124","GLUTRACE-RXN: (expasy) Glutamate racemase [5.1.1.3]"
"125","GLUTRNAREDUCT-RXN: (expasy) Glutamyl-tRNA reductase [1.2.1.70]"
"126","GLYCOGEN-BRANCH-RXN: (expasy) 1,4-alpha-glucan branching enzyme [2.4.1.18]"
"127","GLYCOPHOSPHORYL-RXN: (expasy) Glycogen phosphorylase [2.4.1.1]"
"128","GLYMALTOPHOSPHORYL-RXN: (expasy) Glycogen phosphorylase [2.4.1.1]"
"129","GMP-SYN-GLUT-RXN: (expasy) GMP synthase (glutamine-hydrolyzing) [6.3.5.2]"
"130","GPH-RXN: (expasy) Phosphoglycolate phosphatase [3.1.3.18]"
"131","GPPSYN-RXN: (expasy) Dimethylallyltranstransferase [2.5.1.1]"
"132","GSAAMINOTRANS-RXN: (expasy) Glutamate-1-semialdehyde 2,1-aminomutase [5.4.3.8]"
"133","GTP-CYCLOHYDRO-II-RXN: (expasy) GTP cyclohydrolase II [3.5.4.25]"
"134","GTPPYPHOSKIN-RXN: (expasy) GTP diphosphokinase [2.7.6.5]"
"135","H2NEOPTERINALDOL-RXN: (expasy) Dihydroneopterin aldolase [4.1.2.25]"
"136","HEMN-RXN: (expasy) Coproporphyrinogen dehydrogenase [1.3.98.3]"
"137","HOMOCITRATE-SYNTHASE-RXN: (expasy) Homocitrate synthase [2.3.3.14]"
"138","HOMOSERKIN-RXN: (expasy) Homoserine kinase [2.7.1.39]"
"139","HYDROGEN-DEHYDROGENASE-RXN: (expasy) Hydrogen dehydrogenase [1.12.1.2]"
"140","HYDROXYLAMINE-REDUCTASE-RXN: (expasy) Hydroxylamine reductase [1.7.99.1]"
"141","IPPISOM-RXN: (expasy) Isopentenyl-diphosphate Delta-isomerase [5.3.3.2]"
"142","ISOCITDEH-RXN: (expasy) Isocitrate dehydrogenase (NADP(+)) [1.1.1.42]"
"143","ISPH2-RXN: (expasy) 4-hydroxy-3-methylbut-2-enyl diphosphate reductase [1.17.7.4]"
"144","KETOGLUTREDUCT-RXN: (expasy) 2-oxoglutarate reductase [1.1.1.399]"
"145","L-ASPARTATE-OXID-RXN: (expasy) L-aspartate oxidase [1.4.3.16]"
"146","LUMAZINESYN-RXN: (expasy) 6,7-dimethyl-8-ribityllumazine synthase [2.5.1.78]"
"147","MALIC-NADP-RXN: (expasy) Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)) [1.1.1.40]"
"148","MANNPISOM-RXN: (expasy) Mannose-6-phosphate isomerase [5.3.1.8]"
"149","METHIONYL-TRNA-FORMYLTRANSFERASE-RXN: (expasy) Methionyl-tRNA formyltransferase [2.1.2.9]"
"150","N-ACETYLTRANSFER-RXN: (expasy) Amino-acid N-acetyltransferase [2.3.1.1]"
"151","NAD-KIN-RXN: (expasy) NAD(+) kinase [2.7.1.23]"
"152","NAG1P-URIDYLTRANS-RXN: (expasy) UDP-N-acetylglucosamine diphosphorylase [2.7.7.23]"
"153","NAPHTHOATE-SYN-RXN: (expasy) 1,4-dihydroxy-2-naphthoyl-CoA synthase [4.1.3.36]"
"154","NICONUCADENYLYLTRAN-RXN: (expasy) Nicotinate-nucleotide adenylyltransferase [2.7.7.18]"
"155","NITROGENASE-RXN: (expasy) Nitrogenase [1.18.6.1]"
"156","OHMETHYLBILANESYN-RXN: (expasy) Hydroxymethylbilane synthase [2.5.1.61]"
"157","OROPRIBTRANS-RXN: (expasy) Orotate phosphoribosyltransferase [2.4.2.10]"
"158","OROTPDECARB-RXN: (expasy) Orotidine-5'-phosphate decarboxylase [4.1.1.23]"
"159","PABASYN-RXN: (expasy) Aminodeoxychorismate synthase [2.6.1.85]"
"160","PANTEPADENYLYLTRAN-RXN: (expasy) Pantetheine-phosphate adenylyltransferase [2.7.7.3]"
"161","PANTOATE-BETA-ALANINE-LIG-RXN: (expasy) Pantoate--beta-alanine ligase (AMP-forming) [6.3.2.1]"
"162","PEPCARBOX-RXN: (expasy) Phosphoenolpyruvate carboxylase [4.1.1.31]"
"163","PEPSYNTH-RXN: (expasy) Pyruvate, water dikinase [2.7.9.2]"
"164","PEPTIDYLPROLYL-ISOMERASE-RXN: (expasy) Peptidylprolyl isomerase [5.2.1.8]"
"165","PGLUCISOM-RXN: (expasy) Glucose-6-phosphate isomerase [5.3.1.9]"
"166","PGLYCDEHYDROG-RXN: (expasy) Phosphoglycerate dehydrogenase [1.1.1.95]"
"167","PHOSPHAGLYPSYN-RXN: (expasy) CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase [2.7.8.5]"
"168","PHOSPHATIDYLCHOLINE-DESATURASE-RXN: (expasy) Acyl-lipid omega-6 desaturase (cytochrome b5) [1.14.19.22]"
"169","PHOSPHOKETOLASE-RXN: (expasy) Phosphoketolase [4.1.2.9]"
"170","PHOSPHORIBULOKINASE-RXN: (expasy) Phosphoribulokinase [2.7.1.19]"
"171","PPGPPSYN-RXN: (expasy) Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [3.1.7.2]"
"172","PRAISOM-RXN: (expasy) Phosphoribosylanthranilate isomerase [5.3.1.24]"
"173","PURINE-NUCLEOSIDASE-RXN: (expasy) Purine nucleosidase [3.2.2.1]"
"174","PYROGLUTAMYL-PEPTIDASE-I-RXN: (expasy) Pyroglutamyl-peptidase I [3.4.19.3]"
"175","QUINOLINATE-SYNTHA-RXN: (expasy) Quinolinate synthase [2.5.1.72]"
"176","QUINOPRIBOTRANS-RXN: (expasy) Nicotinate-nucleotide diphosphorylase (carboxylating) [2.4.2.19]"
"177","R229-RXN: (expasy) 2-phosphosulfolactate phosphatase [3.1.3.71]"
"178","RIB5PISOM-RXN: (expasy) Ribose-5-phosphate isomerase [5.3.1.6]"
"179","RXN-10625: (expasy) Geranylgeranyl diphosphate reductase [1.3.1.83]"
"180","RXN-10847: (expasy) Demethylrebeccamycin-D-glucose O-methyltransferase [2.1.1.164]"
"181","RXN-10857: (expasy) Dihydroneopterin aldolase [4.1.2.25]"
"182","RXN-11291: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]"
"183","RXN-11348: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]"
"184","RXN-11350: (expasy) Peptidoglycan glycosyltransferase [2.4.1.129]"
"185","RXN-11355: (expasy) 15-cis-phytoene desaturase [1.3.5.5]"
"186","RXN-11484: (expasy) 8-amino-7-oxononanoate synthase [2.3.1.47]"
"187","RXN-11601: (expasy) 23S rRNA (uracil(1939)-C(5))-methyltransferase [2.1.1.190]"
"188","RXN-11633: (expasy) 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase [2.1.1.182]"
"189","RXN-11637: (expasy) 16S rRNA (cytidine(1402)-2'-O)-methyltransferase [2.1.1.198]"
"190","RXN-11867: (expasy) tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase [2.1.1.200]"
"191","RXN-12002: (expasy) AMBIGUOUS [2.7.4.14; 2.7.4.22]"
"192","RXN-12093: (expasy) 7-cyano-7-deazaguanine synthase [6.3.4.20]"
"193","RXN-12171: (expasy) Glycogen phosphorylase [2.4.1.1]"
"194","RXN-12193: (metacyc) 4-&alpha;-glucosyltransferase [2.4.1.25]"
"195","RXN-1223: (expasy) UDP-sulfoquinovose synthase [3.13.1.1]"
"196","RXN-12391: (expasy) 4-alpha-glucanotransferase [2.4.1.25]"
"197","RXN-12392: (expasy) Glycogen phosphorylase [2.4.1.1]"
"198","RXN-12456: (expasy) tRNA-dihydrouridine(20) synthase (NAD(P)(+)) [1.3.1.91]"
"199","RXN-12588: (expasy) Cysteine desulfurase [2.8.1.7]"
"200","RXN-12610: (expasy) Thiamine phosphate synthase [2.5.1.3]"
"201","RXN-12611: (metacyc) thiamin phosphate synthase [2.5.1.3]"
"202","RXN-12613: (expasy) Aminopyrimidine aminohydrolase [3.5.99.2]"
"203","RXN-12625: (metacyc) N,N'-diacetylchitobiose &beta;-N-acetylglucosaminidase [3.2.1.52]"
"204","RXN-12626: (metacyc) chitotriose &beta;-N-acetylglucosaminidase [3.2.1.52]"
"205","RXN-12642: (expasy) 3-dehydrosphinganine reductase [1.1.1.102]"
"206","RXN-12645: (expasy) 3-dehydrosphinganine reductase [1.1.1.102]"
"207","RXN-12752: (expasy) NAD(P)H-hydrate epimerase [5.1.99.6]"
"208","RXN-13141: (expasy) ADP-dependent NAD(P)H-hydrate dehydratase [4.2.1.136]"
"209","RXN-13142: (expasy) NAD(P)H-hydrate epimerase [5.1.99.6]"
