,012025_COL_SAN_T5_568_OFAV_S1,012025_COL_SAN_T5_569_DLAB_S2,012025_COL_SAN_T5_570_DLAB_S3,012025_COL_SAN_T5_571_DLAB_S4,012025_COL_SAN_T5_572_OFAV_S5,012025_COL_SAN_T5_573_PSTR_S6,012025_COL_SAN_T5_574_MCAV_S7,012025_COL_SAN_T5_575_DLAB_S8,012025_COL_SAN_T5_576_PSTR_S9,012025_COL_SAN_T5_577_PSTR_S10,012025_COL_SAN_T5_578_MCAV_S11,012025_COL_SAN_T5_579_DLAB_S12,012025_COL_SAN_T5_580_OFAV_S13,012025_COL_SAN_T5_581_MCAV_S14,012025_COL_SAN_T5_582_PSTR_S15,012025_COL_SAN_T5_583_MCAV_S16,012025_COL_SAN_T5_584_OFAV_S17,012025_COL_SAN_T5_585_OFAV_S18,012025_COL_SAN_T5_586_DLAB_S19,012025_COL_SAN_T5_587_PSTR_S20,012025_COL_SAN_T5_588_MCAV_S21,012025_COL_SAN_T5_589_MCAV_S22,012025_COL_SAN_T5_590_PSTR_S23,012025_COL_SAN_T5_591_MCAV_S24,012025_COL_SAN_T5_592_PSTR_S25,012025_COL_SAN_T5_593_MCAV_S26,012025_COL_SAN_T5_594_MCAV_S27,012025_COL_SAN_T5_595_MCAV_S28,012025_COL_SAN_T5_596_OFAV_S29,032024_COL_SAN_T5_128_MCAV_S1,032024_COL_SAN_T5_129_MCAV_S2,032024_COL_SAN_T5_130_MCAV_S37,032024_COL_SAN_T5_131_MCAV_S3,032024_COL_SAN_T5_132_MCAV_S4,032024_COL_SAN_T5_133_MCAV_S5,032024_COL_SAN_T5_134_MCAV_S6,032024_COL_SAN_T5_136_MCAV_S7,032024_COL_SAN_T5_139_OFAV_S17,032024_COL_SAN_T5_140_OFAV_S18c,032024_COL_SAN_T5_141_OFAV_S19,032024_COL_SAN_T5_143_DLAB_S40,032024_COL_SAN_T5_144_PSTR_S9,032024_COL_SAN_T5_146_DLAB_S12,032024_COL_SAN_T5_147_PSTR_S10,032024_COL_SAN_T5_148_DLAB_S13,032024_COL_SAN_T5_149_DLAB_S14,032024_COL_SAN_T5_150_MCAV_S8,032024_COL_SAN_T5_154_PSTR_S38,032024_COL_SAN_T5_158_DLAB_S15,032024_COL_SAN_T5_159_DLAB_S16,032024_COL_SAN_T5_160_DLAB_S41,032024_COL_SAN_T5_161_DLAB_S42,032024_COL_SAN_T5_162_PSTR_S39,032024_COL_SAN_T5_163_PSTR_S11c,032024_COL_SAN_T5_166_OFAV_S20,032024_COL_SAN_T5_167_OFAV_S21,Sum
3379134,572009.0240817064,612795.6893433902,764659.7272567254,712837.5849759025,559782.7116524902,717638.6197644955,547701.8486417813,709547.8443452533,567843.1305798347,565274.8822192703,627970.3800538387,703185.8627797625,585886.9890798777,574549.21922181,541377.4519787963,513505.9711115602,597682.2931869929,572812.927474719,548253.6222010264,541967.5965850294,616137.2670853952,573446.4885800536,537920.3032474201,536075.8733842891,566255.2919855309,530934.8819274856,548370.5783986622,528484.6572532934,613956.4208340807,386375.75633268384,640830.5096738181,557383.8184138741,522069.47798625304,440773.12333443126,329225.2612010947,499180.4591893324,506977.75602327735,542387.3923865996,591469.4442613224,527361.3870326892,639645.1925030388,524260.3287098472,520790.19497540366,558986.5046027348,540583.7376325681,539152.6753679267,727421.700803236,598933.5952573053,533125.4371648403,507902.142077758,575063.1638243721,668611.907333514,659115.430233003,580065.0444399717,603809.8172109263,545768.8240557469,32056135.22125804
1783272,309692.72652019054,290466.13167839905,190257.97539880723,238430.4230815541,317232.46253812494,221318.37829780893,316788.5097815437,250286.66909188492,305077.7737115493,315243.86738358845,272359.0171406948,242900.94702943787,293790.09378102305,294530.2389785178,324903.975616746,364954.72348123987,287903.5553739272,304055.17699850426,311382.1138211382,315526.3668506382,296431.3252831658,294192.7924555936,329636.66202426393,346072.27179959184,309873.7260714207,368700.55969059275,306193.6423353576,334140.569535379,276758.6840374592,530760.9475951185,262454.8935133138,313120.94897269696,335872.19022849714,441364.49381680985,587712.5038011143,354362.05217948556,344591.2873225648,328841.1840248601,290412.863555457,337926.67509481666,277651.32863424596,329688.4150907028,333480.9512980407,324297.67331009626,320705.10473971034,320397.2470634745,222054.64153723937,284288.06959694106,325460.4802984379,342548.67053350946,305902.5408682493,252588.6922091396,245370.54749971305,299835.7998665212,292144.17744916823,328936.30866842007,17561872.048556484
4751,81356.64360123819,61368.15125037346,29869.89352212347,31888.132824372828,85844.99971583913,41272.916977194815,95468.29746228964,26316.845076968402,88809.26646184223,83703.7462895666,65372.012419048275,36579.10373310055,84916.92744946861,93184.36718143387,95258.3511022752,88118.40218636027,79391.67493724094,85546.08097569706,98737.33932870055,100120.73128665057,61042.52914005944,93222.89034084899,93227.19060264215,82166.15310736725,87060.04064831867,69791.89792365306,102990.00664090316,94848.93902342825,75331.40928435161,54158.547841247055,66910.90338760524,88309.26699867364,98383.80085454209,80254.21445039974,55183.57230149577,101265.66678579792,104965.46473051613,91354.46228972779,82884.35145841698,94599.96387935705,55560.911948927554,103031.33641236258,102993.45294378149,81088.56913039593,98475.43527689128,98503.13568814428,32079.548376450184,82849.82635843828,96496.85241314993,103945.32820306667,77315.49563384132,54242.757990845974,66344.64552167425,83449.68590103499,71565.00308071473,86385.94398199614,4425403.084332853
3366610,14521.309774339661,10692.776610075322,4818.205956674931,6189.5324657574365,14264.875821698524,7512.296914592338,12575.501458887371,6751.420205018542,13330.60990589991,12508.812752090098,14422.952878140239,5567.7408469714865,12406.710306841833,12449.314123026486,14311.283022744847,11316.723923900805,13935.431140171639,13564.132394114113,13684.879865558432,13935.300965850292,10016.544516727929,13808.086314778802,15556.841065368175,14896.554483972948,11985.384214658341,13145.133963520793,17066.321019658673,12810.601877415793,13288.982373754667,9599.01548559122,9520.51509838914,12018.56903325909,15214.564369310794,11715.124112944275,8755.472170106317,15676.028739386024,14749.551313427966,14396.017313271923,13873.98941621369,14430.196857504063,10135.635358164807,15204.869116545953,15667.452632586866,14383.173950606251,13642.199044118026,13710.773948930511,6988.498336345948,13933.419861788332,16000.233154581489,14167.575949003618,10743.89230451749,8470.255326146234,10307.22730229177,12536.415352182803,12066.132676114192,14384.100214202435,693625.1595997417
3384189,6377.4841000110755,9120.309461534833,3326.5013261254167,2938.5635208091303,5929.490215393941,3422.641228200924,8021.188858622509,1694.4252716959052,7322.048130906079,6547.912625912669,7568.395070222666,2730.6871281754093,5714.5448773187,9645.414545768268,6977.201080736184,7034.4601941934425,6013.193998482106,6609.478273098018,9833.310623609028,9270.438082097275,5652.086031486985,9113.174232499858,6497.830414676586,7053.103365480812,7142.804733988304,6116.869004358342,8073.097941320019,10586.100812495071,5772.146945164604,8511.947492564865,6768.921139317134,13420.005505643285,11647.780048300205,9214.89954187502,8434.170439093241,10154.91169909912,10899.00473160385,7261.427235108525,6388.627523837492,6411.414123171392,4765.659702972684,9489.143085898984,7767.896683383404,5946.316322578723,7290.275679660956,8182.13945576194,3910.642396889907,5240.818044690777,8889.018419211938,10193.533566875323,8379.08333906564,4591.209625806359,5564.907984849065,6875.2184921130965,5627.438899157937,7619.099265204305,401550.41253811924
1783275,4465.404772037005,8779.608246017726,1408.1691712387415,1470.908871988623,4991.759334684676,2904.680280220599,6309.284122352738,846.52103369624,5259.6192308019645,6448.059984205128,3680.9921477901144,2191.518548132716,4555.510202024783,4658.7869899059615,5099.070487574959,4426.6096981244655,4261.778270768872,4218.815918998735,6949.175637007767,6257.54570541566,2650.117159134295,4637.95474332582,4941.801290595627,4391.932450278123,6306.359187327116,3084.724770106213,5160.701855452341,5655.912282085667,4157.902460499927,3102.245923495026,3404.1148122233662,4154.258114567432,4588.519412966747,4880.677905201066,2920.4032336724213,5274.638600988379,5395.116114646217,4106.352956098489,4243.103458608765,4569.2613328517255,3360.7542414027016,5611.938528144947,6385.474392272798,5469.65769952632,5563.088725851606,5594.522878244255,1730.814250242736,4086.7155435507066,6108.650034973187,8011.255958192156,6203.9052812207765,3860.1177554769783,4210.50617897999,5178.130660932021,4107.619634421852,4799.219110110897,257092.28759065614
2731360,4308.007998087921,1740.1969777181405,2968.492214793533,2954.834636649712,4863.8869418606855,2483.604113876882,2713.207506540768,1113.4794642573092,3866.6995747481537,2941.1141739311984,1943.7014612162754,3106.6380088174233,4505.117390055482,3105.857993270641,3923.8870454049784,3175.6113051762463,4057.446435868994,5510.02927602562,3470.0458736430937,3632.7181786823044,2170.99993262414,2961.7816255624534,4340.320705307865,2321.021249349714,3613.5915064090805,2214.224787633058,3648.496195482586,3226.315374299913,4195.948626805154,1881.8582709465695,2437.1260780352045,2940.5140268775494,3771.1313394018207,2619.995808006707,1526.1832223121103,3734.148355372614,3230.543318649046,4978.358410096238,3925.4700076112167,5707.061585696225,2801.2024337921084,4018.059025435352,4787.6096661839165,3202.5501236333303,4738.163613584454,4258.7856171645235,1274.1249026177127,4156.8737503069415,4651.433900676148,5294.894618962844,4013.8542110145813,2796.6038534929744,2898.1903049317057,3739.5256205176015,3820.086260012323,5016.132968195006,193297.7578676261
2732005,3293.6732326382617,1184.5919185671678,551.9307133033202,719.1833201537295,2159.6226343607327,639.0669250260844,3359.2092938123797,460.6070330406012,1982.9955999625527,1806.425063618236,1857.696971781927,544.6703002472105,3089.079373718133,2044.6898455698388,1827.6625925772387,2636.7196897523986,2527.876700332769,3010.70045128546,1580.5968115547075,2465.828734046223,1721.8275327708698,2782.7728459954924,1619.2823405070149,2250.990435791748,1687.565576597134,2044.7986165476789,2840.386292535785,3589.177250138045,2320.8161446189133,1471.6439339554918,2523.604745320325,2658.975449836082,3641.0923276983094,2627.481510315298,1577.8210005106403,3339.782852494978,3545.9835753521506,2267.2141803941463,2475.143684188447,2943.8324002167237,1330.8724531784264,2298.15184111616,2585.3092197393144,1733.8457413531146,2588.2025397381894,2048.5297905348343,990.1332074559333,1196.197425193812,3054.3250174865934,2590.0189513581804,1621.1583473852313,1001.9980811795896,1077.0172552320464,1928.0273737512844,2279.7288971041285,2819.8801550934086,118816.41619803448
3384194,2734.04025859707,2814.7161958874744,1784.078738137219,1890.703660675642,3447.8185916987136,2248.8448352958712,3563.77652644839,2381.8778104982443,3960.3173927721373,3685.4702302965015,2760.744110842586,2110.8266517997963,3451.907619897098,3364.679492709861,4150.993048032919,3098.626788687125,2720.532430381225,3317.5234272126413,4387.518735522551,4225.595032769921,3084.317145659123,3417.440337187447,4063.1566115136957,3351.474648845492,3719.981510151074,2699.1341738429364,3568.4853140027044,4117.693460597933,2907.8141390424325,2999.6923392472568,3223.295780627206,3215.7961910958734,3455.322310979008,4034.793544330329,2908.928171850526,4461.259751303254,3752.651329743841,2758.7081635565137,2750.825547318395,4316.416832219614,3243.6787862718697,4529.583144909594,3931.8244383535416,3747.728423749516,3768.8766066705507,5235.131686922354,2671.0570247648434,3314.9752692321185,4453.252506411751,3813.24297938322,9102.283565135427,2633.3503290504914,3793.4728545739754,3881.4792842992892,3214.2123639351,3240.1507551313684,195482.07890007267
2732396,647.0756262351274,497.94793037115465,244.63955941012034,325.4223168116423,677.2500805122473,367.04426889253244,1302.7702709977498,242.06075309941505,1106.392394828892,720.1493553452934,817.0426496263104,166.88551287035745,922.1884590382027,1026.6586144422397,940.867725172898,1029.6679080419951,671.37602895674,645.6066785134426,726.7111777263025,1129.1609175577787,606.382739801915,1098.4629655245362,901.645848691406,790.347753011325,1140.9410746124101,572.5436126333501,896.1218725746701,938.7078961899502,554.3869947333235,681.9813352476668,652.5208531513613,969.7439875872769,947.4270852684376,1018.0555139683205,677.0286474918383,1257.040040422464,1120.3567738075815,745.1682970526216,677.2184898626984,1065.5589669496117,566.4385990888775,1304.7571743111105,999.4135178158924,714.987934578604,948.6638791072248,1275.8387291927475,295.50487199266223,792.7877363454589,1130.7997202145023,861.4253718486189,619.089139540461,438.89172150841523,583.4640547882312,1042.4060086655297,739.3715341959335,582.9559936010412,44415.35496382851
1935183,460.53130155473036,83.86491458882605,44.751138916485424,52.06757068986277,610.9458768257336,63.34774183932032,409.1344652720206,41.49612910275686,278.0165504954652,251.14452308260232,335.41750879395903,34.844227961942764,524.0852444807273,345.0953325856268,243.3278599585081,375.2995178844655,531.2627707396813,485.80304521803606,231.6391879002589,237.1507416350466,172.18275327708696,252.2396439352639,225.4114621728515,200.0880387370443,264.1406989456384,227.84898870102705,280.03808517958447,354.973574189477,385.89682966731345,184.596451645985,196.54242564800037,331.5898796266173,222.9240200631618,232.05677156630836,269.6639528145458,653.1678641410842,174.0360036982651,443.9300493079448,563.3498942220677,668.2318945277225,179.05657843538984,281.70893536262616,359.07072496379374,238.32931152620134,319.65848100352144,329.441925378409,161.18447563236126,171.8876065527765,448.82256936348796,430.7126859243094,243.54557741681805,172.71749687393162,149.2137582737116,283.907327563376,359.4167180119121,447.38483229847344,16518.19393617415
2840023,75.78363190141133,94.34802891242931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.432093166230764,198.4298162367354,0.0,0.0,81.73273395995096,0.0,154.42612526683925,0.0,0.0,122.05144061383739,0.0,0.0,0.0,0.0,360.0489666594657,0.0,86.96266584052134,0.0,0.0,0.0,0.0,74.85702308590591,0.0,0.0,130.5270027736988,0.0,77.91009175411574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.509620171142
2732092,58.295101462624096,0.0,0.0,0.0,123.13637827495407,83.84259949321806,269.1674113631714,0.0,124.82375736531091,87.74929119753575,0.0,649.202984133039,65.51065556009091,301.9584160124234,236.11814558936712,105.85371017254154,128.43715336563722,108.6664706408765,90.83889721578781,296.4384270438082,112.29309996331759,162.73525415178318,319.71625757169755,160.07043098963544,179.76242011578168,157.74160756224953,112.01523407183376,347.08527254082196,146.74949860587975,215.36252692031587,133.64884944064028,68.82054105458094,0.0,209.5996646405366,183.60098915032904,246.47843929852237,163.15875346712352,301.2382477446768,143.83401554605985,0.0,41.32074886970535,281.70893536262616,101.73670540640822,116.18553936902315,72.18094732337579,125.78691696266525,0.0,171.8876065527765,69.94637444625786,120.59955205880664,72.50593526149544,59.149827696551924,126.25779546237135,148.30979798086804,133.49763811871023,0.0,7735.024822597814
2732397,0.0,361.66744416431237,0.0,302.6427546348273,0.0,0.0,1130.5031277253202,283.5568822021719,913.482951627957,714.097680090291,619.2323239273089,203.56364756713933,0.0,0.0,690.3301508452489,0.0,0.0,0.0,472.36226552209655,900.094860296654,0.0,593.9836776540086,695.7853806866078,0.0,697.0379555509902,0.0,0.0,631.0641318924036,0.0,0.0,817.6164906956815,1295.0774543907505,0.0,748.5702308590593,436.05234923203153,0.0,0.0,0.0,0.0,0.0,611.2027436977249,0.0,0.0,0.0,1180.6740669323615,1090.1532803430987,310.8557744338395,789.2798260076472,0.0,0.0,637.6804049921266,472.01562501848434,413.2073306041244,908.9271904827484,0.0,0.0,18920.718002077014
1783276,0.0,0.0,65.63500374417862,0.0,71.04021823555043,44.716053063049635,387.6010723629669,33.1969032822055,124.82375736531091,66.56842780502713,292.4152640767848,27.508601022586397,115.9034675293916,595.2894487102062,59.48014354541309,221.33048490622323,93.40883881137253,115.05861597269275,45.419448607893905,35.03363228699551,202.12757993397167,187.14554227455065,54.05274858226541,270.1188522950098,73.37241637378844,309.6409333629342,440.05984813934697,268.2022560542715,135.8791653758146,56.404471336273204,125.78715241472023,112.615430816587,185.7700167193015,232.05677156630836,189.33852006127682,394.3655028776358,304.5630064719639,158.54644618140884,113.8685956406307,0.0,106.74526791340548,0.0,149.6128020682474,74.47790985193792,123.7387668400728,95.83765101917352,111.29404269853515,73.66611709404707,110.74842620657496,120.59955205880664,81.80156798732818,60.33282425048296,45.91192562268049,127.12268398360116,133.49763811871023,0.0,7623.73181351951
Total_reads,171541.0,190783.0,335187.0,307293.0,211148.0,536720.0,92879.0,722959.0,352497.0,330487.0,116273.0,545284.0,198441.0,115910.0,554807.0,103917.0,171290.0,156442.0,220170.0,371072.0,133579.0,122899.0,869521.0,99956.0,272582.0,171166.0,124983.0,126770.0,183987.0,195020.0,127199.0,159836.0,53830.0,133588.0,174291.0,81143.0,91935.0,63073.0,166859.0,55370.0,580822.0,134891.0,167098.0,335670.0,193957.0,166949.0,260571.0,285070.0,171560.0,174130.0,537887.0,845311.0,522740.0,471985.0,97380.0,73762.0,14232470.0
